0.0726sec. imr:40.3869
0.0727sec. imr:40.413
0.0728sec. imr:40.4391
0.0729sec. imr:40.4652
0.073sec. imr:40.4912
0.0731sec. imr:40.5173
0.0732sec. imr:40.5433
0.0733sec. imr:40.5693
0.0734sec. imr:40.5953
0.0735sec. imr:40.6214
0.0736sec. imr:40.6474
0.0737sec. imr:40.6734
0.0738sec. imr:40.6994
0.0739sec. imr:40.7254
0.074sec. imr:40.7514
0.0741sec. imr:40.7774
0.0742sec. imr:40.8033
0.0743sec. imr:40.8293
0.0744sec. imr:40.8553
0.0745sec. imr:40.8813
0.0746sec. imr:40.9072
0.0747sec. imr:40.9332
0.0748sec. imr:40.9591
0.0749sec. imr:40.985
0.075sec. imr:41.0109
0.0751sec. imr:41.0369
0.0752sec. imr:41.0628
0.0753sec. imr:41.0887
0.0754sec. imr:41.1146
0.0755sec. imr:41.1405
0.0756sec. imr:41.1664
0.0757sec. imr:41.1923
0.0758sec. imr:41.2181
0.0759sec. imr:41.244
0.076sec. imr:41.2699
0.0761sec. imr:41.2958
0.0762sec. imr:41.3216
0.0763sec. imr:41.3475
0.0764sec. imr:41.3733
0.0765sec. imr:41.3991
0.0766sec. imr:41.4249
0.0767sec. imr:41.4508
0.0768sec. imr:41.4765
0.0769sec. imr:41.5024
0.077sec. imr:41.5282
0.0771sec. imr:41.554
0.0772sec. imr:41.5797
0.0773sec. imr:41.6056
0.0774sec. imr:41.6313
0.0775sec. imr:41.6571
0.0776sec. imr:41.6828
0.0777sec. imr:41.7086
0.0778sec. imr:41.7343
0.0779sec. imr:41.7601
0.078sec. imr:41.7858
0.0781sec. imr:41.8116
0.0782sec. imr:41.8373
0.0783sec. imr:41.8631
0.0784sec. imr:41.8887
0.0785sec. imr:41.9145
0.0786sec. imr:41.9401
0.0787sec. imr:41.9659
0.0788sec. imr:41.9915
0.0789sec. imr:42.0173
0.079sec. imr:42.0429
0.0791sec. imr:42.0686
0.0792sec. imr:42.0942
0.0793sec. imr:42.1199
0.0794sec. imr:42.1455
0.0795sec. imr:42.1712
0.0796sec. imr:42.1968
0.0797sec. imr:42.2225
0.0798sec. imr:42.2481
0.0799sec. imr:42.2737
0.08sec. imr:42.2993
0.0801sec. imr:42.325
0.0802sec. imr:42.3505
0.0803sec. imr:42.3762
0.0804sec. imr:42.4017
0.0805sec. imr:42.4273
0.0806sec. imr:42.4529
0.0807sec. imr:42.4785
0.0808sec. imr:42.504
0.0809sec. imr:42.5296
0.081sec. imr:42.5551
0.0811sec. imr:42.5807
0.0812sec. imr:42.6062
0.0813sec. imr:42.6318
0.0814sec. imr:42.6573
0.0815sec. imr:42.6828
0.0816sec. imr:42.7083
0.0817sec. imr:42.7339
0.0818sec. imr:42.7593
0.0819sec. imr:42.7849
0.082sec. imr:42.8103
